ticket_id,placed_at,event_datetime,category,sport_league,match,bet_type,selection,odds,stake,result,payout,profit,roi
2582516026033967317,2025-09-24T09:10:00,,COMBO,LOST,,,1.822,0.1,0.1,LOST,0.0,-0.1,-100.0
2581212581872152607,2025-09-20T18:49:00,,COMBO,LOST,,,1.751,0.3,0.3,LOST,0.0,-0.3,-100.0
2581132481898099515,2025-09-20T13:31:00,,COMBO,LOST,,,2.748,0.3,0.3,LOST,0.0,-0.3,-100.0
2581122051037343772,2025-09-20T12:49:00,2025-09-20T11:59:00,COMBO,LOST,"Ansari, CarolynvsBains, Naiktha",,2.388,0.3,0.3,LOST,0.0,-0.3,-100.0
2581121592474088127,2025-09-20T12:48:00,2025-09-20T12:12:00,COMBO,WON,Barrientos N / Pel DvsCash R / Tracy J,,1.287,0.3,0.3,WON,0.39,0.09000000000000002,30.00000000000001
2581106057678041164,2025-09-20T11:46:00,2025-09-20T12:00:00,COMBO,LOST,"Shevchenko, AlexandervsMpetshi Perricard, Giovanni",,1.798,0.3,0.3,LOST,0.0,-0.3,-100.0
2581088198075748638,2025-09-20T10:36:00,2025-09-20T09:35:00,COMBO,WON,Sema E / Tse EvsKinoshita H / Yang Y-Y,,1.232,0.3,0.3,WON,0.37,0.07,23.333333333333336
2581087867333910682,2025-09-20T10:35:00,2025-09-20T10:22:00,COMBO,WON,"Musetti, LorenzovsPrizmic, Dino",,1.654,0.3,0.3,WON,0.5,0.2,66.66666666666667
2580868001750463318,2025-09-19T20:00:00,2025-09-19T18:44:00,COMBO,WON,"Samir, SandravsFouad, Nada",,1.805,0.2,0.2,WON,0.36,0.15999999999999998,79.99999999999999
2580843280245854486,2025-09-19T18:21:00,2025-09-19T17:03:00,COMBO,WON,"Clarke, JayvsBoitan, Gabi Adrian",,2.551,0.2,0.2,WON,0.51,0.31,154.99999999999997
2580818521948823630,2025-09-19T16:43:00,2025-09-19T15:46:00,COMBO,WON,"Hallquist Lithen, JohnvsHamza Reguig, Samir",,2.213,0.2,0.2,WON,0.44,0.24,120.0
2580804747527332008,2025-09-19T15:49:00,2025-09-19T15:01:00,COMBO,LOST,Grammatikopoulou V / Schmidt AvsHennemann C W / Zaar L,,2.095,0.2,0.2,LOST,0.0,-0.2,-100.0
2580782420957728800,2025-09-19T14:20:00,2025-09-19T14:09:00,COMBO,CASHED OUT,Karatancheva L / Sakellaridi SvsBartashevich Y / Ibragimova A,,2.505,0.2,0.2,CASHED_OUT,0.09,-0.11000000000000001,-55.00000000000001
2580777369975525491,2025-09-19T14:01:00,2025-09-19T13:30:00,COMBO,LOST,Cristian J / Hsieh S-WvsKrejcikova B / Siniakova K,,1.997,0.2,0.2,LOST,0.0,-0.2,-100.0
2580534351561368045,2025-09-18T21:53:00,2025-09-18T21:02:00,COMBO,WON,Moyano L / Romero CvsLarraya Guidi S A / Vazquez C,,2.354,0.2,0.2,WON,0.47,0.26999999999999996,134.99999999999997
2580527819666895084,2025-09-18T21:27:00,2025-09-18T19:43:00,COMBO,WON,"Barrena, AlexvsLa Serna, Juan Manuel",,2.616,0.1,0.1,WON,0.26,0.16,160.0
2580526963269706197,2025-09-18T21:24:00,2025-09-18T18:27:00,COMBO,WON,"Sakamoto, PedrovsEstevez, Juan",,2.186,0.1,0.1,WON,0.22,0.12,120.0
2580125512240337530,2025-09-17T18:49:00,2025-09-17T18:00:00,COMBO,LOST,"Spencer, KatievsCoe, Reya",,2.63,0.2,0.2,LOST,0.0,-0.2,-100.0
2580123875778106275,2025-09-17T18:43:00,2025-09-17T21:00:00,COMBO,WON,"Brancaccio, NuriavsZantedeschi, Aurora",,1.978,0.2,0.2,WON,0.4,0.2,100.0
2580123558290268609,2025-09-17T18:41:00,2025-09-17T18:59:00,COMBO,LOST,"Moyano, LucianavsCapurro Taborda, Martina",,2.198,0.2,0.2,LOST,0.0,-0.2,-100.0
2580080602485235831,2025-09-17T15:51:00,2025-09-17T19:00:00,COMBO,WON,"Zidansek, TamaravsIn-Albon, Ylena",,2.895,0.3,0.3,WON,0.87,0.5700000000000001,190.00000000000003
2580070283708871340,2025-09-17T15:10:00,2025-09-17T15:16:00,COMBO,LOST,"Cirotte, AstridvsOliver Sanchez, Maria",,2.162,0.3,0.3,LOST,0.0,-0.3,-100.0
2580029882109137637,2025-09-17T12:31:00,2025-09-17T12:04:00,COMBO,WON,"Peniston, RyanvsMaxted, Lui",,3.378,0.3,0.3,WON,1.01,0.71,236.66666666666666
