ticket_id,placed_at,event_datetime,category,sport_league,match,bet_type,selection,odds,stake,result,payout,profit,roi
2598569904038880020,2025-11-07T15:22:00,2025-11-07T14:00:00,SINGLE,LOST,Crystal PalacevsStoke City,,1x2 Stoke City0:2,1.15,0.1,LOST,0.0,-0.1,-100.0
2598569414379049102,2025-11-07T15:20:00,2025-11-07T14:00:00,SINGLE,WON,CSM AlexandriavsACS Axi Adunatii Copaceni,Total,over 2.52:0,1.42,0.1,WON,0.14,0.04000000000000001,40.00000000000001
2597565525961871397,2025-11-04T20:49:00,2025-11-04T19:30:00,SINGLE,WON,AmaZulu FCvsPolokwane City,,1x2 Polokwane City0:1,1.35,0.1,WON,0.14,0.04000000000000001,40.00000000000001
2597565370453860682,2025-11-04T20:49:00,2025-11-04T19:00:00,SINGLE,WON,Zakho FCvsAl Ain FC,Total,under 2.52:0,1.25,0.1,WON,0.13,0.03,30.0
2597565202027389566,2025-11-04T20:48:00,2025-11-04T20:00:00,SINGLE,LOST,Academico de Viseu FCvsLusitania FC Lourosa,,1x2 Lusitania FC Lourosa1:2,1.32,0.1,LOST,0.0,-0.1,-100.0
2582543978503221929,2025-09-24T11:04:00,2025-09-24T12:05:00,SINGLE,WON,"Pereira, TiagovsMerida, Daniel",Winner,"Merida, Daniel",1.33,0.1,WON,0.13,0.03,30.0
2582543978503221627,2025-09-24T11:03:00,2025-09-24T11:30:00,SINGLE,LOST,"Bolt, AlexvsDuckworth, James",Winner,"Duckworth, James",1.53,0.1,LOST,0.0,-0.1,-100.0
2582543978503221421,2025-09-24T11:03:00,2025-09-24T11:08:00,SINGLE,LOST,"Suslova, SofiiavsJamshidi, Elena",Winner,"Jamshidi, Elena",1.36,0.1,LOST,0.0,-0.1,-100.0
2582364668458832274,2025-09-23T23:07:00,2025-09-23T22:01:00,SINGLE,WON,"Collarini, AndreavsAmbrogi, Luciano Emanuel",Winner,"Collarini, Andrea0:0",1.62,0.1,WON,0.16,0.06,60.0
2582364107781059369,2025-09-23T23:06:00,2025-09-23T23:28:00,SINGLE,WON,"Dahlin, MaxvsThomson, Matthew",Winner,"Dahlin, Max",1.4,0.1,WON,0.14,0.04000000000000001,40.00000000000001
2581215885545054665,2025-09-20T19:01:00,2025-09-20T23:00:00,SINGLE,LOST,"Zverev, Alexandervsde Minaur, Alex",Winner,"Zverev, Alexander",1.55,0.4,LOST,0.0,-0.4,-100.0
2581215649472848037,2025-09-20T19:00:00,2025-09-21T12:30:00,SINGLE,LOST,"Wu, YibingvsMedvedev, Daniil",Winner,"Medvedev, Daniil",1.33,0.3,LOST,0.0,-0.3,-100.0
2581215649468653798,2025-09-20T19:00:00,2025-09-21T10:30:00,SINGLE,LOST,"Royer, ValentinvsTien, Learner",Winner,"Tien, Learner",1.54,0.3,LOST,0.0,-0.3,-100.0
2581215497718735056,2025-09-20T18:59:00,2025-09-21T05:00:00,SINGLE,WON,"Liu, FangzhouvsFalei, Aliona",Winner,"Falei, Aliona",1.62,0.3,WON,0.49,0.19,63.33333333333334
2581154644583653992,2025-09-20T14:59:00,2025-09-20T12:54:00,SINGLE,LOST,"Shevchenko, AlexandervsMpetshi Perricard, Giovanni",Winner,"Mpetshi Perricard, Giovanni1:1",6.46,0.2,LOST,0.0,-0.2,-100.0
2581146619521151012,2025-09-20T14:27:00,2025-09-20T14:45:00,SINGLE,WON,"Pegula, JessicavsBoulter, Katie",Winner,"Pegula, Jessica",1.28,0.3,WON,0.38,0.08000000000000002,26.66666666666667
2581122273939428164,2025-09-20T12:51:00,2025-09-20T10:36:00,SINGLE,LOST,"Summers, MatthewvsMarrero Curbelo, Ivan",Winner,"Summers, Matthew1:1",1.25,0.3,LOST,0.0,-0.3,-100.0
2581122273939427672,2025-09-20T12:50:00,2025-09-20T11:59:00,SINGLE,WON,"Ansari, CarolynvsBains, Naiktha",Winner,"Ansari, Carolyn1:0",1.25,0.3,WON,0.38,0.08000000000000002,26.66666666666667
2581122273939427618,2025-09-20T12:50:00,2025-09-20T11:04:00,SINGLE,WON,"Buyukakcay, CaglavsJanicijevic, Selena",Winner,"Janicijevic, Selena0:1",1.15,0.3,WON,0.35,0.04999999999999999,16.666666666666664
2581122273935233026,2025-09-20T12:50:00,2025-09-20T12:15:00,SINGLE,WON,"Navarro, EmmavsKartal, Sonay",Winner,"Navarro, Emma0:0",1.55,0.3,WON,0.47,0.16999999999999998,56.666666666666664
2581122051037344153,2025-09-20T12:50:00,2025-09-20T10:36:00,SINGLE,LOST,"Summers, MatthewvsMarrero Curbelo, Ivan",Winner,"Summers, Matthew1:1",1.25,0.3,LOST,0.0,-0.3,-100.0
